Page total likes;Type;Post Month;Post Weekday;Post Hour;Paid;Lifetime Post Total Reach;Lifetime Engaged Users;comment;like;share;Total Interactions
81370;Photo;1;4;4;;4188;564;0;90;14;104
81370;Photo;1;4;11;0;4156;626;4;79;17;100
81370;Photo;1;5;2;0;3778;625;5;137;10;152
81370;Photo;1;5;8;0;3480;537;0;66;14;80
81370;Photo;1;5;4;;4188;564;0;90;14;104
81370;Photo;1;4;11;0;4156;626;4;79;17;100
81370;Photo;1;5;2;0;3778;625;5;137;10;152
81370;Photo;1;5;8;0;3480;537;0;66;14;80
81370;Photo;1;4;11;;4188;564;0;90;14;104
81370;Photo;1;4;11;0;4156;626;4;79;17;100
81370;Photo;1;5;2;0;3778;625;5;137;10;152
81370;Photo;1;5;8;0;3480;537;0;66;14;80
81370;Photo;1;5;5;;4188;564;0;90;14;104
81370;Photo;1;4;11;0;4156;626;4;79;17;100
81370;Photo;1;5;2;0;3778;625;5;137;10;152
81370;Photo;1;5;8;0;3480;537;0;66;14;80
85093;Photo;1;1;2;0;8412;1179;19;325;49;393
85093;Photo;1;7;10;0;5400;810;3;113;26;142
85093;Photo;1;7;2;0;4684;733;0;88;18;106
85093;Photo;1;1;2;0;8412;1179;19;325;49;393
85093;Photo;1;7;10;0;5400;810;3;113;26;142
85093;Photo;1;7;2;0;4684;733;0;88;18;106
85093;Photo;1;1;2;0;8412;1179;19;325;49;393
85093;Photo;1;7;10;0;5400;810;3;113;26;142
85093;Photo;1;7;2;0;4684;733;0;88;18;106
85093;Photo;1;1;2;0;8412;1179;19;325;49;393
85093;Photo;1;7;10;0;5400;810;3;113;26;142
85093;Photo;1;7;2;0;4684;733;0;88;18;106
85979;Link;1;5;11;0;45920;753;58;1572;147;1777
85979;Photo;1;7;10;0;9700;1407;0;233;19;252
85979;Photo;1;6;3;1;6184;956;0;325;14;339
85979;Photo;1;6;11;0;5280;951;0;161;31;192
85979;Photo;1;1;12;0;5034;1020;3;249;27;279
85979;Photo;1;1;2;0;4908;957;1;152;33;186
